Shazam Top 50 Trujillo
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Aya Nakamura","Copines"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"kostromin","Моя голова винтом"
9,"LA YOUNG","Como Estrellas"
10,"Humbe","Sorpresa Sorpresa"
11,"Kiddtetoon & Diego Smith","Illuminati"
12,"Rauw Alejandro & Anuel AA","Reloj"
13,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
14,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
15,"Issam Alnajjar","Hadal Ahbek"
16,"Boney M.","Rasputin"
17,"Adso Alejandro","Como Si Nada"
18,"The Weeknd","Blinding Lights"
19,"KAROL G, Anuel AA & J. Balvin","LOCATION"
20,"Leat'eq","Tokyo"
21,"Olivia Rodrigo","drivers license"
22,"Tesher","Jalebi Baby"
23,"CNCO","Tan Enamorados"
24,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
25,"NP HEAVEN","The Style Weekend (Remix)"
26,"Black Eyed Peas & Shakira","GIRL LIKE ME"
27,"Migos Feat. Young Thug","YRN"
28,"Kim Dracula","Paparazzi"
29,"Masked Wolf","Astronaut In The Ocean"
30,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
31,"Boza","Hecha Pa' Mi"
32,"Pháo","2 Phút Hơn [KAIZ Remix]"
33,"Twenty One Pilots","Stressed Out"
34,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
35,"24kGoldn Feat. iann dior","Mood"
36,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
37,"Israel Kamakawiwo'ole","Over The Rainbow"
38,"Kaleo","Way Down We Go"
39,"Hiboky","Exil"
40,"ATB, Topic & A7S","Your Love (9PM)"
41,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
42,"Magic!","Rude"
43,"XXXTENTACION","Hope"
44,"Duncan Laurence","Arcade"
45,"Hippie Sabotage","Devil Eyes"
46,"Gwen Stefani","Hollaback Girl"
47,"Humbe","tú me hiciste volar"
48,"Avicii","The Nights"
49,"SZA & Justin Timberlake","The Other Side"
50,"The Weeknd","Save Your Tears"
