Shazam Top 200 Uruguay Chart
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Weeknd","Blinding Lights"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Kali Uchis","telepatía"
4,"Olivia Rodrigo","drivers license"
5,"Myke Towers & Juhn","Bandido"
6,"Master KG Feat. Nomcebo Zikode","Jerusalema"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"American Authors","Best Day Of My Life"
9,"Masked Wolf","Astronaut In The Ocean"
10,"The Weeknd","Save Your Tears"
11,"Dura DJ","Y Si el Pueblo Pide, Ponle"
12,"ElyOtto & Zedivan","Sugar Crash"
13,"KAROL G, Anuel AA & J. Balvin","LOCATION"
14,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
15,"KAROL G","BICHOTA"
16,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
17,"Harry Styles","Watermelon Sugar"
18,"Crash Test Dummies","Mmm Mmm Mmm Mmm"
19,"No Te Va Gustar & NICKI NICOLE","Venganza"
20,"Bomba Estereo","Fuego"
21,"Gotye Feat. Kimbra","Somebody That I Used To Know"
22,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
23,"Hippie Sabotage","Devil Eyes"
24,"SAINt JHN","Roses (Imanbek Remix)"
25,"Kaleo","Way Down We Go"
26,"Papu DJ","La Guerra"
27,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
28,"Daddy Yankee","PROBLEMA"
29,"Tones And I","Dance Monkey"
30,"24kGoldn Feat. iann dior","Mood"
31,"Luis Fonsi & Rauw Alejandro","Vacío"
32,"LA YOUNG","Como Estrellas"
33,"David Guetta & Sia","Let's Love"
34,"Camilo & El Alfa","BEBÉ"
35,"No Te Va Gustar","No Te Imaginas"
36,"Dirty Heads","Vacation"
37,"Camilo","Ropa Cara"
38,"Black Eyed Peas & Shakira","GIRL LIKE ME"
39,"Boza","Hecha Pa' Mi"
40,"CNCO","Tan Enamorados"
41,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
42,"ATB, Topic & A7S","Your Love (9PM)"
43,"Issam Alnajjar","Hadal Ahbek"
44,"SZA & Justin Timberlake","The Other Side"
45,"kostromin","Моя голова винтом"
46,"Gwen Stefani","Hollaback Girl"
47,"Rauw Alejandro & Anuel AA","Reloj"
48,"Boney M.","Rasputin"
49,"Jawsh 685 & Jason Derulo","Savage Love (Laxed - Siren Beat)"
50,"Tiësto","The Business"
51,"Pascal Letoublon","Friendships"
52,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
53,"Kim Dracula","Paparazzi"
54,"Sech","911"
55,"Jim Diamond","I Should Have Known Better"
56,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
57,"Fer Palacio","Previa y Cachengue 38 (Remix)"
58,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
59,"Chencho Corleone & Juhn","Guilla de Crema"
60,"Migrantes & Alico","Si Me Tomo Una Cerveza"
