Shazam Top 50 Montevideo
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Weeknd","Blinding Lights"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Kali Uchis","telepatía"
4,"Olivia Rodrigo","drivers license"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"Master KG Feat. Nomcebo Zikode","Jerusalema"
7,"Myke Towers & Juhn","Bandido"
8,"American Authors","Best Day Of My Life"
9,"The Weeknd","Save Your Tears"
10,"Masked Wolf","Astronaut In The Ocean"
11,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
12,"Dura DJ","Y Si el Pueblo Pide, Ponle"
13,"Crash Test Dummies","Mmm Mmm Mmm Mmm"
14,"Bomba Estereo","Fuego"
15,"KAROL G, Anuel AA & J. Balvin","LOCATION"
16,"ElyOtto & Zedivan","Sugar Crash"
17,"Harry Styles","Watermelon Sugar"
18,"KAROL G","BICHOTA"
19,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
20,"Papu DJ","La Guerra"
21,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
22,"No Te Va Gustar & NICKI NICOLE","Venganza"
23,"Gotye Feat. Kimbra","Somebody That I Used To Know"
24,"Tones And I","Dance Monkey"
25,"Luis Fonsi & Rauw Alejandro","Vacío"
26,"Hippie Sabotage","Devil Eyes"
27,"24kGoldn Feat. iann dior","Mood"
28,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
29,"Kaleo","Way Down We Go"
30,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
31,"No Te Va Gustar","No Te Imaginas"
32,"Rauw Alejandro & Anuel AA","Reloj"
33,"Camilo & El Alfa","BEBÉ"
34,"SAINt JHN","Roses (Imanbek Remix)"
35,"Camilo","Ropa Cara"
36,"Dirty Heads","Vacation"
37,"kostromin","Моя голова винтом"
38,"Daddy Yankee","PROBLEMA"
39,"SZA & Justin Timberlake","The Other Side"
40,"Jawsh 685 & Jason Derulo","Savage Love (Laxed - Siren Beat)"
41,"David Guetta & Sia","Let's Love"
42,"Chencho Corleone & Juhn","Guilla de Crema"
43,"CNCO","Tan Enamorados"
44,"Migrantes & Alico","Si Me Tomo Una Cerveza"
45,"Pascal Letoublon","Friendships"
46,"Jim Diamond","I Should Have Known Better"
47,"LA YOUNG","Como Estrellas"
48,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
49,"Ace Of Base","The Sign"
50,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
