Shazam Top 50 Salto
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
4,"Black Eyed Peas & Shakira","GIRL LIKE ME"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Issam Alnajjar","Hadal Ahbek"
7,"Daddy Yankee","PROBLEMA"
8,"Bring Me The Horizon","Can You Feel My Heart"
9,"Hozier","Take Me To Church"
10,"Shaggy Feat. Rayvon","Angel"
11,"Twenty One Pilots","Doubt"
12,"Gwen Stefani","Hollaback Girl"
13,"5 Seconds Of Summer","Teeth"
14,"SZA & Justin Timberlake","The Other Side"
15,"Curtis Waters Feat. Harm Franklin","Stunnin'"
16,"Spin Doctors","Two Princes"
17,"24kGoldn Feat. iann dior","Mood"
18,"Lele Pons & Guaynaa","Se Te Nota"
19,"Gotye Feat. Kimbra","Somebody That I Used To Know"
20,"KAROL G","BICHOTA"
21,"Bad Bunny & Jhay Cortez","Dakiti"
22,"Olivia Rodrigo","drivers license"
23,"Lira, Marka Akme & Pushi","Escapémonos"
24,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
25,"KAROL G, Anuel AA & J. Balvin","LOCATION"
26,"Rusherking, Khea & Duki Feat. Maria Becerra, Lit Killah & Tiago PZK","Además de Mí (Remix)"
27,"American Authors","Best Day Of My Life"
28,"Roxette","Listen To Your Heart"
29,"Migos Feat. Young Thug","YRN"
30,"Robbie Williams","Feel"
31,"Steve ‘n’ Seagulls","Thunderstruck"
32,"Peter Schilling","Major Tom (Völlig Losgelöst)"
33,"Britney Spears","Oops!...I Did It Again"
34,"Madonna","Material Girl"
35,"Red Hot Chili Peppers","Give It Away"
36,"Morcheeba","Rome Wasn't Built In A Day"
37,"UB40","Rat In Mi Kitchen"
38,"REO Speedwagon","Can't Fight This Feeling"
39,"Gerry Rafferty","Baker Street"
40,"Mike Posner","I Took A Pill In Ibiza (Seeb Remix)"
41,"Roger Daltrey","Without Your Love"
42,"Propaganda","Wound In My Heart"
43,"Three Drives On A Vinyl","Greece 2000"
44,"Coldplay","Hymn For The Weekend"
45,"Michael Kiwanuka","Cold Little Heart"
46,"CNCO","Reggaetón Lento (Bailemos)"
47,"The Pointer Sisters","Jump (For My Love)"
48,"Laura Branigan","Self Control"
49,"Starship","Nothing's Gonna Stop Us Now"
50,"Chris Isaak","Wicked Game"
