Shazam Top 200 Venezuela Chart
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
4,"Myke Towers & Juhn","Bandido"
5,"Luis Fonsi & Rauw Alejandro","Vacío"
6,"Olivia Rodrigo","drivers license"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
9,"Masked Wolf","Astronaut In The Ocean"
10,"SZA & Justin Timberlake","The Other Side"
11,"Sech","911"
12,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
13,"Rauw Alejandro & Anuel AA","Reloj"
14,"ElyOtto & Zedivan","Sugar Crash"
15,"The Weeknd","Save Your Tears"
16,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
17,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
18,"kostromin","Моя голова винтом"
19,"Humbe","Sorpresa Sorpresa"
20,"KAROL G, Anuel AA & J. Balvin","LOCATION"
21,"Myke Towers","Explícito"
22,"Boza","Hecha Pa' Mi"
23,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
24,"Daddy Yankee","PROBLEMA"
25,"Ozuna & Camilo","Despeinada"
26,"Kiddtetoon & Diego Smith","Illuminati"
27,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
28,"KD One","Hay Que Bueno"
29,"Issam Alnajjar","Hadal Ahbek"
30,"Darkiell","Sigue Bailandome"
31,"The Weeknd","Blinding Lights"
32,"jusLo","BIG BANK"
33,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
34,"Micro Tdh & Lasso","Ni Vivo Ni Muerto"
35,"KAROL G","BICHOTA"
36,"Kaleo","Way Down We Go"
37,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
38,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
39,"Black Eyed Peas & Shakira","GIRL LIKE ME"
40,"LA YOUNG","Como Estrellas"
41,"Boney M.","Rasputin"
42,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
43,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
44,"Bad Bunny & Jhay Cortez","Dakiti"
45,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
46,"Camilo & El Alfa","BEBÉ"
47,"Camilo","Ropa Cara"
48,"Papu DJ","La Guerra"
49,"Hippie Sabotage","Devil Eyes"
50,"Rauw Alejandro","Algo Mágico"
51,"Sebastián Yatra & Guaynaa","Chica Ideal"
52,"Twenty One Pilots","Stressed Out"
53,"Gwen Stefani","Hollaback Girl"
54,"Dirty Heads","Vacation"
55,"El Vega","Te Encontre"
56,"Tiësto","The Business"
57,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
58,"Pháo","2 Phút Hơn [KAIZ Remix]"
59,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
60,"Gotye Feat. Kimbra","Somebody That I Used To Know"
61,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
62,"Rauw Alejandro","Dile a El"
63,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
64,"J. Balvin, Dua Lipa, Bad Bunny & Tainy","UN DIA (ONE DAY)"
65,"Kim Dracula","Paparazzi"
66,"Dura DJ","Y Si el Pueblo Pide, Ponle"
67,"24kGoldn Feat. iann dior","Mood"
68,"Black Motion Feat. Nokwazi","Trap en Los (Edit)"
69,"Anuel AA & Ozuna","Dime Tú"
70,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
71,"Dillom Feat. Bizarrap","Dillom: Bzrp Music Sessions, Vol. 9"
72,"Wisin, Myke Towers & Maluma Feat. Anitta & Los Legendarios","Mi Niña (Remix)"
73,"CNCO","Tan Enamorados"
74,"Leat'eq","Tokyo"
75,"Tones And I","Dance Monkey"
76,"Sech, Daddy Yankee & J Balvin Feat. ROSALÍA & Farruko","Relación (Remix)"
77,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
78,"Jay Wheeler & DJ Nelson Feat. Myke Towers","La Curiosidad"
79,"Pascal Letoublon","Friendships"
80,"Migos Feat. Young Thug","YRN"
81,"Camilo & Evaluna Montaner","Machu Picchu"
82,"Mike Bahía","Quiéreme"
83,"Dylan Fuentes & Myke Towers & Dayme y El High","Ajena"
84,"Joey Montana, Greeicy & Cali Y El Dandee","Desesperado (Voy A Tomar)"
85,"Yan Block, Jay Wheeler & DJ Nelson","Vete Pal Carajo"
86,"Farruko & Myke Towers","Oh Mama (Premium)"
87,"SoFaygo","Knock Knock"
88,"Ed Sheeran","Perfect"
89,"Avicii","The Nights"
90,"Lewis Capaldi","Someone You Loved"
91,"Duncan Laurence","Arcade"
92,"Queen","Another One Bites The Dust"
93,"CNCO","Dejaría Todo"
94,"Bruno Mars","Locked Out Of Heaven"
95,"SAINt JHN","Roses (Imanbek Remix)"
96,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
97,"Wisin, Ozuna & Reik Feat. Los Legendarios & Miky Woodz","No Me Acostumbro"
98,"Paul Anka","Put Your Head On My Shoulder"
99,"Stefflon Don","16 Shots"
100,"Justin Quiles","Ponte Pa' Mi"
101,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
102,"Silvestre Dangond","Las Locuras Mías"
103,"Ariana Grande & Doja Cat","motive"
104,"Nicky Jam & Myke Towers","Polvo"
105,"Capone","Streets Favorite"
106,"Daft Punk Feat. Pharrell Williams","Get Lucky"
107,"Mother Mother","Hay Loft"
108,"Imagine Dragons","Believer"
109,"Jerry Di","Mi Cuarto"
110,"Anuel AA & Ozuna","Antes"
111,"Akim, Boza & Dalex Feat. Beéle","Otra Baby"
112,"Tato el X5 Feat. Olle Jey","En Detone"
113,"Aya Nakamura","Copines"
114,"Sub Urban","Cradles"
115,"Bring Me The Horizon","Can You Feel My Heart"
