Shazam Top 50 Barcelona
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
5,"Masked Wolf","Astronaut In The Ocean"
6,"The Weeknd","Save Your Tears"
7,"Luis Fonsi & Rauw Alejandro","Vacío"
8,"KD One","Hay Que Bueno"
9,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
10,"Sech","911"
11,"KAROL G, Anuel AA & J. Balvin","LOCATION"
12,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
13,"Desconocido","La Canción Más Misteriosa De Internet"
14,"Olivia Rodrigo","drivers license"
15,"Joey Montana, Greeicy & Cali Y El Dandee","Desesperado (Voy A Tomar)"
16,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
17,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
18,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
19,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
20,"ElyOtto & Zedivan","Sugar Crash"
21,"CNCO","Tan Enamorados"
22,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
23,"Boney M.","Rasputin"
24,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
25,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
26,"Boza","Hecha Pa' Mi"
27,"Camilo","Ropa Cara"
28,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
29,"Farruko & Myke Towers","Oh Mama (Premium)"
30,"Capone","Streets Favorite"
31,"Dura DJ","Y Si el Pueblo Pide, Ponle"
32,"Wisin, Ozuna & Reik Feat. Los Legendarios & Miky Woodz","No Me Acostumbro"
33,"Ozuna & Camilo","Despeinada"
34,"Daddy Yankee","PROBLEMA"
35,"Dirty Heads","Vacation"
36,"Sebastián Yatra & Guaynaa","Chica Ideal"
37,"KAROL G","BICHOTA"
38,"Mike Bahía","Quiéreme"
39,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
40,"Humbe","Sorpresa Sorpresa"
41,"Avicii","The Nights"
42,"Pascal Letoublon","Friendships"
43,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
44,"Sech, Daddy Yankee & J Balvin Feat. ROSALÍA & Farruko","Relación (Remix)"
45,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
46,"Issam Alnajjar","Hadal Ahbek"
47,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
48,"Nio García & Casper Mágico","Travesuras"
49,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
50,"Yan Block, Jay Wheeler & DJ Nelson","Vete Pal Carajo"
