Shazam Top 50 Barquisimeto
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
2,"Kali Uchis","telepatía"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Myke Towers & Juhn","Bandido"
5,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
6,"Olivia Rodrigo","drivers license"
7,"SZA & Justin Timberlake","The Other Side"
8,"Myke Towers","Explícito"
9,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
10,"The Weeknd","Save Your Tears"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"Masked Wolf","Astronaut In The Ocean"
13,"Bad Bunny & Jhay Cortez","Dakiti"
14,"Boza","Hecha Pa' Mi"
15,"Humbe","Sorpresa Sorpresa"
16,"The Weeknd","Blinding Lights"
17,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
18,"Sech, Daddy Yankee & J Balvin Feat. ROSALÍA & Farruko","Relación (Remix)"
19,"LA YOUNG","Como Estrellas"
20,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
21,"jusLo","BIG BANK"
22,"Kiddtetoon & Diego Smith","Illuminati"
23,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
24,"Sech","911"
25,"Issam Alnajjar","Hadal Ahbek"
26,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
27,"kostromin","Моя голова винтом"
28,"KAROL G, Anuel AA & J. Balvin","LOCATION"
29,"Micro Tdh & Lasso","Ni Vivo Ni Muerto"
30,"Rauw Alejandro","Dile a El"
31,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
32,"Luis Fonsi & Rauw Alejandro","Vacío"
33,"Dylan Fuentes & Myke Towers & Dayme y El High","Ajena"
34,"Dura DJ","Y Si el Pueblo Pide, Ponle"
35,"Black Eyed Peas & Shakira","GIRL LIKE ME"
36,"Rauw Alejandro","Algo Mágico"
37,"Anuel AA & Ozuna","Dime Tú"
38,"Kaleo","Way Down We Go"
39,"Papu DJ","La Guerra"
40,"Darkiell","Sigue Bailandome"
41,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
42,"KD One","Hay Que Bueno"
43,"Buxxi & Jacob Bush","Como Tu No Hay Dos (Acoustic Version)"
44,"Justin Bieber & benny blanco","Lonely"
45,"Rauw Alejandro & Anuel AA","Reloj"
46,"Akim, Boza & Dalex Feat. Beéle","Otra Baby"
47,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
48,"Camilo & El Alfa","BEBÉ"
49,"SoulChef Feat. Nieve","Write This Down"
50,"Migos Feat. Young Thug","YRN"
