Shazam Top 50 Caracas
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Kali Uchis","telepatía"
4,"Luis Fonsi & Rauw Alejandro","Vacío"
5,"Myke Towers & Juhn","Bandido"
6,"Olivia Rodrigo","drivers license"
7,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
8,"The Weeknd","Save Your Tears"
9,"Rauw Alejandro & Anuel AA","Reloj"
10,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
11,"Desconocido","La Canción Más Misteriosa De Internet"
12,"SZA & Justin Timberlake","The Other Side"
13,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
14,"Sech","911"
15,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
16,"Daddy Yankee","PROBLEMA"
17,"Ozuna & Camilo","Despeinada"
18,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
19,"Black Motion Feat. Nokwazi","Trap en Los (Edit)"
20,"Boza","Hecha Pa' Mi"
21,"ElyOtto & Zedivan","Sugar Crash"
22,"Masked Wolf","Astronaut In The Ocean"
23,"KAROL G, Anuel AA & J. Balvin","LOCATION"
24,"KAROL G","BICHOTA"
25,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
26,"Myke Towers","Explícito"
27,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
28,"Bad Bunny & Jhay Cortez","Dakiti"
29,"kostromin","Моя голова винтом"
30,"Issam Alnajjar","Hadal Ahbek"
31,"The Weeknd","Blinding Lights"
32,"Micro Tdh & Lasso","Ni Vivo Ni Muerto"
33,"Black Eyed Peas & Shakira","GIRL LIKE ME"
34,"Humbe","Sorpresa Sorpresa"
35,"KD One","Hay Que Bueno"
36,"Mike Bahía","Quiéreme"
37,"El Vega","Te Encontre"
38,"Darkiell","Sigue Bailandome"
39,"jusLo","BIG BANK"
40,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
41,"Camilo & El Alfa","BEBÉ"
42,"Joey Montana, Greeicy & Cali Y El Dandee","Desesperado (Voy A Tomar)"
43,"Pháo","2 Phút Hơn [KAIZ Remix]"
44,"Camilo","Ropa Cara"
45,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
46,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
47,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
48,"Boney M.","Rasputin"
49,"Kaleo","Way Down We Go"
50,"Wisin, Myke Towers & Maluma Feat. Anitta & Los Legendarios","Mi Niña (Remix)"
