Shazam Top 50 Ciudad Guayana
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Luis Fonsi & Rauw Alejandro","Vacío"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Kali Uchis","telepatía"
6,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
7,"SZA & Justin Timberlake","The Other Side"
8,"Myke Towers & Juhn","Bandido"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"jusLo","BIG BANK"
11,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
12,"Olivia Rodrigo","drivers license"
13,"Rauw Alejandro & Anuel AA","Reloj"
14,"Kim Dracula","Paparazzi"
15,"Sech","911"
16,"The Weeknd","Save Your Tears"
17,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
18,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
19,"Kaleo","Way Down We Go"
20,"Bryant Myers & Miky Woodz","No Ando Solo"
21,"GIVĒON","HEARTBREAK ANNIVERSARY"
22,"Queen","Another One Bites The Dust"
23,"Hippie Sabotage","Devil Eyes"
24,"Masked Wolf","Astronaut In The Ocean"
25,"Kiddtetoon & Diego Smith","Illuminati"
26,"Wisin, Ozuna & Reik Feat. Los Legendarios & Miky Woodz","No Me Acostumbro"
27,"Issam Alnajjar","Hadal Ahbek"
28,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
29,"KAROL G, Anuel AA & J. Balvin","LOCATION"
30,"Servando & Florentino","Te Encontré"
31,"El Vega","Te Encontre"
32,"Migos Feat. Young Thug","YRN"
33,"Dirty Heads","Vacation"
34,"Rauw Alejandro","Algo Mágico"
35,"Sebastián Yatra & Guaynaa","Chica Ideal"
36,"Camilo & El Alfa","BEBÉ"
37,"Myke Towers","Explícito"
38,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
39,"Daddy Yankee","PROBLEMA"
40,"Indila","Dernière Danse"
41,"Avicii","The Nights"
42,"Dillom Feat. Bizarrap","Dillom: Bzrp Music Sessions, Vol. 9"
43,"24kGoldn Feat. iann dior","Mood"
44,"J. Balvin, Dua Lipa, Bad Bunny & Tainy","UN DIA (ONE DAY)"
45,"BTS","Dynamite"
46,"Ozuna & Camilo","Despeinada"
47,"Tiësto","The Business"
48,"KAROL G","BICHOTA"
49,"Ariana Grande & Doja Cat","motive"
50,"Mike Bahía","Quiéreme"
