Shazam Top 50 Maracaibo
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
4,"Myke Towers & Juhn","Bandido"
5,"Masked Wolf","Astronaut In The Ocean"
6,"kostromin","Моя голова винтом"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"Olivia Rodrigo","drivers license"
9,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
10,"Myke Towers","Explícito"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"SZA & Justin Timberlake","The Other Side"
13,"Rauw Alejandro & Anuel AA","Reloj"
14,"Sech","911"
15,"Darkiell","Sigue Bailandome"
16,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
17,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
18,"Boza","Hecha Pa' Mi"
19,"Daddy Yankee","PROBLEMA"
20,"KD One","Hay Que Bueno"
21,"Humbe","Sorpresa Sorpresa"
22,"Papu DJ","La Guerra"
23,"The Weeknd","Save Your Tears"
24,"Luis Fonsi & Rauw Alejandro","Vacío"
25,"Gwen Stefani","Hollaback Girl"
26,"Kiddtetoon & Diego Smith","Illuminati"
27,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
28,"Twenty One Pilots","Stressed Out"
29,"KAROL G, Anuel AA & J. Balvin","LOCATION"
30,"LA YOUNG","Como Estrellas"
31,"Anuel AA & Ozuna","Dime Tú"
32,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
33,"Tato el X5 Feat. Olle Jey","En Detone"
34,"Dura DJ","Y Si el Pueblo Pide, Ponle"
35,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
36,"Dj Wayn","Va Va Vroum Vroum"
37,"Yan Block, Jay Wheeler & DJ Nelson","Vete Pal Carajo"
38,"Sub Urban","Cradles"
39,"Tones And I","Dance Monkey"
40,"Black Eyed Peas & Shakira","GIRL LIKE ME"
41,"Maiky Moves, Jose Rodriguez & Rafa Arrieta","Boleto"
42,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
43,"Bruno Mars","Locked Out Of Heaven"
44,"Avicii","The Nights"
45,"Boney M.","Rasputin"
46,"Hippie Sabotage","Devil Eyes"
47,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
48,"Dylan Fuentes & Myke Towers & Dayme y El High","Ajena"
49,"Dillom Feat. Bizarrap","Dillom: Bzrp Music Sessions, Vol. 9"
50,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
