Shazam Top 50 Maracay
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
2,"Kali Uchis","telepatía"
3,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
4,"Myke Towers & Juhn","Bandido"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
7,"Rauw Alejandro & Anuel AA","Reloj"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Humbe","Sorpresa Sorpresa"
10,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
11,"Olivia Rodrigo","drivers license"
12,"Boza","Hecha Pa' Mi"
13,"SZA & Justin Timberlake","The Other Side"
14,"kostromin","Моя голова винтом"
15,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
16,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
17,"Sech","911"
18,"Masked Wolf","Astronaut In The Ocean"
19,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
20,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
21,"Myke Towers","Explícito"
22,"Micro Tdh & Lasso","Ni Vivo Ni Muerto"
23,"The Weeknd","Blinding Lights"
24,"LA YOUNG","Como Estrellas"
25,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
26,"The Weeknd","Save Your Tears"
27,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
28,"Duncan Laurence","Arcade"
29,"Daddy Yankee","PROBLEMA"
30,"Darkiell","Sigue Bailandome"
31,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
32,"Issam Alnajjar","Hadal Ahbek"
33,"Luis Fonsi & Rauw Alejandro","Vacío"
34,"Rauw Alejandro","Algo Mágico"
35,"Ozuna & Camilo","Despeinada"
36,"KAROL G, Anuel AA & J. Balvin","LOCATION"
37,"Hippie Sabotage","Devil Eyes"
38,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
39,"Black Eyed Peas & Shakira","GIRL LIKE ME"
40,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
41,"Gwen Stefani","Hollaback Girl"
42,"Anuel AA & Ozuna","Dime Tú"
43,"Queen","Another One Bites The Dust"
44,"KD One","Hay Que Bueno"
45,"Kiddtetoon & Diego Smith","Illuminati"
46,"Tiësto","The Business"
47,"Kim Dracula","Paparazzi"
48,"Boney M.","Rasputin"
49,"Kaleo","Way Down We Go"
50,"J. Balvin, Dua Lipa, Bad Bunny & Tainy","UN DIA (ONE DAY)"
