Shazam Top 50 Maturín
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Myke Towers & Juhn","Bandido"
2,"Kali Uchis","telepatía"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
9,"Olivia Rodrigo","drivers license"
10,"Sech","911"
11,"Luis Fonsi & Rauw Alejandro","Vacío"
12,"Masked Wolf","Astronaut In The Ocean"
13,"SZA & Justin Timberlake","The Other Side"
14,"The Weeknd","Save Your Tears"
15,"Darkiell","Sigue Bailandome"
16,"The Weeknd","Blinding Lights"
17,"KD One","Hay Que Bueno"
18,"KAROL G, Anuel AA & J. Balvin","LOCATION"
19,"Humbe","Sorpresa Sorpresa"
20,"Kiddtetoon & Diego Smith","Illuminati"
21,"Tiësto","The Business"
22,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
23,"kostromin","Моя голова винтом"
24,"Micro Tdh & Lasso","Ni Vivo Ni Muerto"
25,"UB40","Kingston Town"
26,"Gwen Stefani","Hollaback Girl"
27,"Dura DJ","Y Si el Pueblo Pide, Ponle"
28,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
29,"Tesher","Jalebi Baby"
30,"CNCO","Dejaría Todo"
31,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
32,"Wisin, Myke Towers & Maluma Feat. Anitta & Los Legendarios","Mi Niña (Remix)"
33,"Tato el X5 Feat. Olle Jey","En Detone"
34,"Twenty One Pilots","Stressed Out"
35,"Lewis Capaldi","Someone You Loved"
36,"Milly, Farruko & Myke Towers Feat. Lary Over, Rauw Alejandro & Sharo Towers","Date Tu Guille"
37,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
38,"J. Balvin, Dua Lipa, Bad Bunny & Tainy","UN DIA (ONE DAY)"
39,"Sech, Daddy Yankee & J Balvin Feat. ROSALÍA & Farruko","Relación (Remix)"
40,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
41,"Issam Alnajjar","Hadal Ahbek"
42,"Sebastián Yatra & Guaynaa","Chica Ideal"
43,"Bad Bunny & Jhay Cortez","Dakiti"
44,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
45,"Bizarrap & Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36"
46,"Myke Towers","Explícito"
47,"jusLo","BIG BANK"
48,"Farruko & El Alfa","XOXA (Premium)"
49,"Vance Joy","Riptide"
50,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
