Shazam Top 50 Mérida
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"Myke Towers & Juhn","Bandido"
4,"SZA & Justin Timberlake","The Other Side"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Masked Wolf","Astronaut In The Ocean"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
9,"Rauw Alejandro & Anuel AA","Reloj"
10,"Twenty One Pilots","Stressed Out"
11,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
12,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
13,"KAROL G, Anuel AA & J. Balvin","LOCATION"
14,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
15,"Myke Towers","Explícito"
16,"The Weeknd","Save Your Tears"
17,"Boza","Hecha Pa' Mi"
18,"Gotye Feat. Kimbra","Somebody That I Used To Know"
19,"Nio García & Casper Mágico","Travesuras"
20,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
21,"kostromin","Моя голова винтом"
22,"Humbe","Sorpresa Sorpresa"
23,"Boney M.","Rasputin"
24,"Hippie Sabotage","Devil Eyes"
25,"Sia","Snowman"
26,"Desconocido","La Canción Más Misteriosa De Internet"
27,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
28,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
29,"KAROL G","BICHOTA"
30,"Micro Tdh & Lasso","Ni Vivo Ni Muerto"
31,"Queen","Another One Bites The Dust"
32,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
33,"Leyla Blue","What A Shame"
34,"Issam Alnajjar","Hadal Ahbek"
35,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
36,"C. Tangana, Niño de Elche & La Hungara","Tú Me Dejaste De Querer"
37,"Kaleo","Way Down We Go"
38,"LA YOUNG","Como Estrellas"
39,"Kiddtetoon & Diego Smith","Illuminati"
40,"Sergio Valentino","Drive Forever"
41,"Yan Block, Jay Wheeler & DJ Nelson","Vete Pal Carajo"
42,"Luis Fonsi & Rauw Alejandro","Vacío"
43,"Childish Gambino","Redbone"
44,"Imagine Dragons","Believer"
45,"Capone","Streets Favorite"
46,"SAINt JHN","Roses (Imanbek Remix)"
47,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
48,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
49,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
50,"jusLo","BIG BANK"
