Shazam Top 50 San Fernando de Apure
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
2,"Masked Wolf","Astronaut In The Ocean"
3,"kostromin","Моя голова винтом"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Myke Towers & Juhn","Bandido"
6,"Papu DJ","La Guerra"
7,"Kiddtetoon & Diego Smith","Illuminati"
8,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
9,"Omega","Pegao"
10,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
11,"Duncan Laurence","Arcade"
12,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
13,"Issam Alnajjar","Hadal Ahbek"
14,"Kali Uchis","telepatía"
15,"Camilo","Ropa Cara"
16,"Luis Fonsi & Rauw Alejandro","Vacío"
17,"Farruko","Lejos De Aquí"
18,"Twenty One Pilots","Stressed Out"
19,"Hippie Sabotage","Devil Eyes"
20,"Dirty Heads","Vacation"
21,"O-Zone","Dragostea Din Tei (Original Romanian Version)"
22,"Sech Feat. Justin Quiles","Qué Más Pues"
23,"El Alfa & Yandel & Myke Towers","Dembow Y Reggaeton"
24,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
25,"Alan Walker & Ava Max","Alone, Pt. II"
26,"Buxxi & Jacob Bush","Como Tu No Hay Dos (Acoustic Version)"
27,"Boza","Hecha Pa' Mi"
28,"Big Soto","Cuando Quieras"
29,"KAROL G","BICHOTA"
30,"Rauw Alejandro","Dile a El"
31,"Nio García & Casper Mágico","Travesuras"
32,"Yan Block, Jay Wheeler & DJ Nelson","Vete Pal Carajo"
33,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
34,"Humbe","tú me hiciste volar"
35,"Alessia Cara & Lucian","Here (Lucian Remix)"
36,"Roar","I Can't Handle Change"
37,"Migos Feat. Young Thug","YRN"
38,"Hombres G","Devuelveme A Mi Chica"
39,"Tito Rojas","Ella Se Hizo Deseo"
40,"Nicky Jam","En La Cama"
41,"The Morph Kings","Everybody Knows It"
42,"Avicii","The Nights"
43,"Linkin Park","In The End"
44,"Elton John","Goodbye Yellow Brick Road"
45,"Alkilados Feat. J. Alvarez, El Roockie & Nicky Jam","Una Cita (Remix)"
46,"Kat Dahlia","I Think I'm In Love"
47,"Alice Deejay","Better Off Alone"
48,"UB40","Kingston Town"
49,"Israel Kamakawiwo'ole","Over The Rainbow"
50,"Journey","Don't Stop Believin'"
