Shazam Top 50 Santa Elena de Uairén
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rihanna","Disturbia"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
4,"Coldplay","The Scientist"
5,"Big Sean","Bounce Back"
6,"MC Kitinho E MC 7Belo","Ngdp"
7,"The Weeknd","Blinding Lights"
8,"Alan Walker & Ava Max","Alone, Pt. II"
9,"Conan Gray","Heather"
10,"Justin","Lovely (Live)"
11,"Whitney Houston","It's Not Right But It's Okay"
12,"MORGENSHTERN","ICE"
13,"Maluma Feat. Lenny Tavárez & Justin Quiles","Parce"
14,"Ariana Grande & Doja Cat","motive"
15,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
16,"Bad Bunny","TE MUDASTE"
17,"Olly Murs Feat. Flo Rida","Troublemaker"
18,"Roxette","Listen To Your Heart"
19,"Mariah Carey","I Don't Wanna Cry"
20,"Christina Perri","Human"
21,"Bill Medley & Jennifer Warnes","The Time Of My Life (I've Had)"
22,"Pedro Infante","Cien Años"
23,"Meg & Dia","Monster (Dotexe Remix)"
24,"Lowell","Palm Trees"
25,"Exposé","When I Looked At Him"
26,"Miley Cyrus","Why'd You Only Call Me When You're High (Live)"
27,"Miguel Rios","Santa Lucia"
28,"Gilberto Santa Rosa","Me Volvieron A Hablar De Ella"
29,"Pimpinela","Olvidame Y Pega La Vuelta"
30,"Alejandro Fernández","Yo Nací Para Amarte"
31,"Natusha","El La Engañó"
32,"Calvin Harris","Summer"
33,"Orquesta Colon Feat. Eddie Marrero","Pedro Simon (Remix)"
34,"Evanescence","Bring Me To Life"
35,"Shakira Feat. Carlinhos Brown","La La La (Brazil 2014)"
36,"Carlos Vives Feat. Marc Anthony","Cuando Nos Volvamos A Encontrar"
37,"Felipe Peláez & Manuel Julián Feat. Guaco","Siento Tu Amor"
38,"DJ Drobitussin","Sexy Bitch (Screwed and Chopped)"
39,"Amanda Miguel","Ámame Una Vez Más"
40,"Melissa","Una Especie En Extinción"
41,"Stephan Bodzin & Marc Romboy","Kerberos (Original Mix)"
42,"Grits","My Life Be Like (Mats Gulbrandsen Lifemix)"
43,"PUBLIC","Make You Mine"
44,"Loris Frigau","Pantafrica"
45,"E-40","Choices (Yup)"
46,"Morten Harket","Can't Take My Eyes Off You"
47,"Leonardo Favio","La Cita"
48,"Gabon","Highest Love"
49,"Hip Hop DJs United","Empire State Of Mind (Made Famous by Jay-Z)"
50,"Blue Swede","Hooked On A Feeling"
