Shazam Top 50 Valencia
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
2,"Kali Uchis","telepatía"
3,"Myke Towers & Juhn","Bandido"
4,"Masked Wolf","Astronaut In The Ocean"
5,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
6,"Olivia Rodrigo","drivers license"
7,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
8,"SZA & Justin Timberlake","The Other Side"
9,"Sech","911"
10,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
11,"Luis Fonsi & Rauw Alejandro","Vacío"
12,"ElyOtto & Zedivan","Sugar Crash"
13,"Myke Towers","Explícito"
14,"Desconocido","La Canción Más Misteriosa De Internet"
15,"Humbe","Sorpresa Sorpresa"
16,"The Weeknd","Save Your Tears"
17,"Rauw Alejandro & Anuel AA","Reloj"
18,"kostromin","Моя голова винтом"
19,"Gotye Feat. Kimbra","Somebody That I Used To Know"
20,"Ozuna & Camilo","Despeinada"
21,"KAROL G, Anuel AA & J. Balvin","LOCATION"
22,"The Weeknd","Blinding Lights"
23,"KD One","Hay Que Bueno"
24,"Papu DJ","La Guerra"
25,"Tiësto","The Business"
26,"Issam Alnajjar","Hadal Ahbek"
27,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
28,"Kaleo","Way Down We Go"
29,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
30,"Boza","Hecha Pa' Mi"
31,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
32,"Sebastián Yatra & Guaynaa","Chica Ideal"
33,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
34,"Hippie Sabotage","Devil Eyes"
35,"Darkiell","Sigue Bailandome"
36,"LA YOUNG","Como Estrellas"
37,"Kiddtetoon & Diego Smith","Illuminati"
38,"Rauw Alejandro","Algo Mágico"
39,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
40,"jusLo","BIG BANK"
41,"Micro Tdh & Lasso","Ni Vivo Ni Muerto"
42,"Dillom Feat. Bizarrap","Dillom: Bzrp Music Sessions, Vol. 9"
43,"Dirty Heads","Vacation"
44,"SoFaygo","Knock Knock"
45,"Black Eyed Peas & Shakira","GIRL LIKE ME"
46,"Christian Nodal & Ángela Aguilar","Dime Cómo Quieres"
47,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
48,"Pascal Letoublon","Friendships"
49,"Gwen Stefani","Hollaback Girl"
50,"Tones And I","Dance Monkey"
