AR,1,Camilo
AR,2,Rusherking,KHEA,Duki
AR,3,Justin Bieber
AR,4,No Te Va Gustar,Nicki Nicole
AR,5,Maroon 5,Megan Thee Stallion
AR,6,Perro Primo,L-Gante,DT.Bilardo
AR,7,Drake
AR,8,Nestor En Bloque
AR,9,DJ Snake,Selena Gomez
AR,10,Juice WRLD
AR,11,Nick Jonas
AR,12,C.R.O,Joaco Tdeb,Ignacio Gabriel De Tommaso
AR,13,Cardellino
AR,14,C. Tangana
AR,15,Angela Torres
AR,16,Mon Laferte,La Arrolladora Banda El Limón De Rene Camacho
AR,17,Gianluca
AR,18,Andrés Calamaro
AR,19,Maria Becerra
AR,20,L-Gante,Frijo,DT.Bilardo
AR,21,Paloma Mami
AR,22,Cazzu
AR,23,Dom La Nena,Julieta Venegas
AR,24,La Vela Puerca
AR,25,Villa Cariño
AR,26,Roman El Original,L-Gante,Perro Primo
AR,27,Lit Killah
AR,28,Ulises Bueno
AR,29,José González
AR,30,Chule Von Wernich
AR,31,KAROL G,Anuel AA,J Balvin
AR,32,Nicky Jam,Romeo Santos
AR,33,Dua Lipa
AR,34,Migrantes,Nico Valdi
AR,35,Abel Pintos
AR,36,Sia
AR,37,Fuego
AR,38,Rita Ora,Imanbek
AR,39,Kings of Leon
AR,40,Fabiana Cantilo
AR,41,CELLI
AR,42,Kiddtetoon,Polimá Westcoast,Julianno Sosa
AR,43,Evaluna Montaner
AR,44,Kudai
AR,45,Christian Löffler
AR,46,Los Legendarios
AR,47,Cardi B
AR,48,KHEA
AR,49,Foo Fighters
AR,50,CNCO
BO,1,Camilo
BO,2,Rusherking,KHEA,Duki
BO,3,Justin Bieber
BO,4,No Te Va Gustar,Nicki Nicole
BO,5,Maroon 5,Megan Thee Stallion
BO,6,Perro Primo,L-Gante,DT.Bilardo
BO,7,Drake
BO,8,Nestor En Bloque
BO,9,DJ Snake,Selena Gomez
BO,10,Juice WRLD
BO,11,Nick Jonas
BO,12,C.R.O,Joaco Tdeb,Ignacio Gabriel De Tommaso
BO,13,Cardellino
BO,14,C. Tangana
BO,15,Angela Torres
BO,16,Mon Laferte,La Arrolladora Banda El Limón De Rene Camacho
BO,17,Gianluca
BO,18,Andrés Calamaro
BO,19,Maria Becerra
BO,20,L-Gante,Frijo,DT.Bilardo
BO,21,Paloma Mami
BO,22,Cazzu
BO,23,Dom La Nena,Julieta Venegas
BO,24,La Vela Puerca
BO,25,Villa Cariño
BO,26,Roman El Original,L-Gante,Perro Primo
BO,27,Lit Killah
BO,28,Ulises Bueno
BO,29,José González
BO,30,Chule Von Wernich
